state,question_id,gold_ok,gold_row_count,gold_column_count,changed_from_snapshot,snapshot_empty,became_nonempty
T0_snapshot,Q021,True,4,1,False,False,False
T0_snapshot,Q022,True,1,1,False,False,False
T0_snapshot,Q023,True,5,2,False,False,False
T0_snapshot,Q024,True,1,2,False,False,False
T0_snapshot,Q025,True,3,2,False,False,False
T0_snapshot,Q026,True,2,2,False,False,False
T0_snapshot,Q027,True,3,2,False,False,False
T0_snapshot,Q028,True,1,1,False,False,False
T0_snapshot,Q029,True,11,2,False,False,False
T0_snapshot,Q030,True,3,3,False,False,False
T0_snapshot,Q031,True,4,3,False,False,False
T0_snapshot,Q032,True,5,2,False,False,False
T0_snapshot,Q033,True,4,2,False,False,False
T0_snapshot,Q034,True,5,2,False,False,False
T0_snapshot,Q035,True,3,2,False,False,False
T0_snapshot,Q036,True,1,2,False,False,False
T0_snapshot,Q037,True,1,1,False,False,False
T0_snapshot,Q038,True,11,1,False,False,False
T0_snapshot,Q039,True,1,2,False,False,False
T0_snapshot,Q040,True,4,1,False,False,False
T0_snapshot,Q041,True,8,2,False,False,False
T0_snapshot,Q042,True,1,1,False,False,False
T0_snapshot,Q043,True,3,2,False,False,False
T0_snapshot,Q044,True,1,1,False,False,False
T0_snapshot,Q045,True,1,2,False,False,False
T0_snapshot,Q046,True,3,3,False,False,False
T0_snapshot,Q047,True,3,2,False,False,False
T0_snapshot,Q048,True,5,2,False,False,False
T0_snapshot,Q049,True,1,1,False,False,False
T0_snapshot,Q050,True,5,3,False,False,False
T0_snapshot,Q051,True,1,2,False,False,False
T0_snapshot,Q052,True,3,2,False,False,False
T0_snapshot,Q053,True,2,3,False,False,False
T0_snapshot,Q054,True,4,2,False,False,False
T0_snapshot,Q055,True,2,1,False,False,False
T0_snapshot,Q056,True,3,2,False,False,False
T0_snapshot,Q057,True,1,1,False,False,False
T0_snapshot,Q058,True,3,1,False,False,False
T0_snapshot,Q059,True,18,2,False,False,False
T0_snapshot,Q060,True,10,1,False,False,False
T0_snapshot,Q061,True,1,2,False,False,False
T0_snapshot,Q062,True,7,2,False,False,False
T0_snapshot,Q063,True,1,2,False,False,False
T0_snapshot,Q064,True,15,4,False,False,False
T0_snapshot,Q065,True,4,1,False,False,False
T0_snapshot,Q066,True,7,1,False,False,False
T0_snapshot,Q067,True,2,2,False,False,False
T0_snapshot,Q068,True,6,2,False,False,False
T0_snapshot,Q069,True,2,2,False,False,False
T0_snapshot,Q070,True,2,3,False,False,False
T0_snapshot,Q071,True,1,3,False,False,False
T0_snapshot,Q072,True,1,1,False,False,False
T0_snapshot,Q073,True,0,1,False,True,False
T0_snapshot,Q074,True,1,2,False,False,False
T0_snapshot,Q075,True,1,1,False,False,False
T0_snapshot,Q076,True,8,3,False,False,False
T0_snapshot,Q077,True,6,1,False,False,False
T0_snapshot,Q078,True,1,1,False,False,False
T0_snapshot,Q079,True,2,2,False,False,False
T0_snapshot,Q080,True,4,3,False,False,False
T0_snapshot,Q081,True,1,3,False,False,False
T0_snapshot,Q082,True,1,3,False,False,False
T0_snapshot,Q083,True,1,3,False,False,False
T0_snapshot,Q084,True,1,3,False,False,False
T0_snapshot,Q085,True,1,3,False,False,False
T0_snapshot,Q086,True,1,3,False,False,False
T0_snapshot,Q087,True,1,3,False,False,False
T0_snapshot,Q088,True,1,3,False,False,False
T0_snapshot,Q089,True,1,3,False,False,False
T0_snapshot,Q090,True,1,3,False,False,False
T0_snapshot,Q091,True,1,3,False,False,False
T0_snapshot,Q092,True,1,3,False,False,False
T0_snapshot,Q093,True,1,3,False,False,False
T0_snapshot,Q094,True,1,3,False,False,False
T0_snapshot,Q095,True,1,3,False,False,False
T0_snapshot,Q096,True,1,3,False,False,False
T0_snapshot,Q097,True,1,3,False,False,False
T0_snapshot,Q098,True,1,3,False,False,False
T0_snapshot,Q099,True,1,3,False,False,False
T0_snapshot,Q100,True,1,3,False,False,False
T0_snapshot,Q101,True,1,3,False,False,False
T0_snapshot,Q102,True,1,3,False,False,False
T0_snapshot,Q103,True,1,3,False,False,False
T0_snapshot,Q104,True,0,3,False,True,False
T0_snapshot,Q105,True,1,3,False,False,False
T0_snapshot,Q106,True,1,3,False,False,False
T0_snapshot,Q107,True,0,3,False,True,False
