citation_id,title,authors,year,venue,doi_or_url,existence_status,metadata_status,context_status,evidence_source
ref1,"State-of-the-art of transmission expansion planning: Comprehensive review","R. Hemmati; R.-A. Hooshmand; A. Khodabakhshian",2013,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2013.03.015,verified_doi,matched,verified_supports_narrow_claim,DOI metadata and title/abstract record
ref2,"The new challenges to transmission expansion planning. Survey of recent practice and literature review","S. Lumbreras; A. Ramos",2016,Electric Power Systems Research,https://doi.org/10.1016/j.epsr.2015.10.013,verified_doi,matched,verified_supports_narrow_claim,DOI metadata and institutional publication record
ref3,"Review on multi-criteria decision analysis aid in sustainable energy decision-making","J.-J. Wang; Y.-Y. Jing; C.-F. Zhang; J.-H. Zhao",2009,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2009.06.021,verified_doi,matched,verified_supports_narrow_claim,DOI/OpenAlex metadata and abstract record
ref4,"A review of multi criteria decision making (MCDM) towards sustainable renewable energy development","A. Kumar; B. Sah; A.R. Singh; Y. Deng; X. He; P. Kumar; R.C. Bansal",2017,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2016.11.191,verified_doi,matched,verified_supports_narrow_claim,DOI metadata and indexed bibliographic record
ref5,"Fuzzy Analytical Hierarchy Process-Based Multi-Criteria Decision Framework for Risk-Informed Maintenance Prioritization of Distribution Transformers","P. Rodkumnerd; T. Pothinun; S. Phumpho; N. Watson; A. Siritaratiwat; W. Srirattanawichaikul; S. Khunkitti",2026,Energies,https://doi.org/10.3390/en19020460,verified_doi,matched,verified_supports_narrow_claim,MDPI/DOI metadata and abstract record
ref6,"Preference programming for robust portfolio modeling and project selection","J. Liesio; P. Mild; A. Salo",2007,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2005.12.041,verified_doi,matched,verified_supports_narrow_claim,DOI metadata and Aalto publication record
ref7,"Selecting infrastructure maintenance projects with Robust Portfolio Modeling","P. Mild; J. Liesio; A. Salo",2015,Decision Support Systems,https://doi.org/10.1016/j.dss.2015.05.001,verified_doi,matched,verified_supports_narrow_claim,DOI metadata and Aalto publication record
ref8,"A fast and elitist multiobjective genetic algorithm: NSGA-II","K. Deb; A. Pratap; S. Agarwal; T. Meyarivan",2002,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/4235.996017,verified_doi,matched,verified_supports_narrow_claim,Crossref work record
ref9,"MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition","Q. Zhang; H. Li",2007,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2007.892759,verified_doi,matched,verified_supports_narrow_claim,DOI/Crossref metadata and abstract record
ref10,"An Engineering-Economic Approach to Transmission Planning Under Market and Regulatory Uncertainties: WECC Case Study","F.D. Munoz; B.F. Hobbs; J.L. Ho; S. Kasina",2014,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2013.2279654,verified_doi,matched,verified_supports_narrow_claim,DOI metadata and abstract record
ref11,"A Novel Hybrid Power-Grid Investment Optimization Model with Collaborative Consideration of Risk and Benefit","C. Gao; X. Wang; D. Li; C. Han; W. You; Y. Zhao",2023,Energies,https://doi.org/10.3390/en16207215,verified_doi,matched,verified_supports_narrow_claim,MDPI DOI metadata record
