method,role,description
BiLo-NSGA,proposed,"custom constrained NDS with forward insertion, atomic substitution, heuristic group-order bonus, and deterministic repair"
NSGA-II,baseline,legacy pymoo NSGA-II on the constrained binary problem; the matched study uses the separately disclosed stage-local implementation
NSGA-III,baseline,pymoo NSGA-III with 35 Das--Dennis directions and normalized budget violation
MOEA/D,baseline,pymoo MOEA/D with 35 directions and a budget-violation penalty
Greedy BCR,baseline,scenario-weighted benefit-cost order with affordable fill
AHP-TOPSIS,baseline,scenario-weighted TOPSIS order with affordable fill
Random Feasible,baseline,seeded random order with affordable fill
Pareto Local Search,baseline,40 repaired starts and feasible add/delete/swap moves under a 1600-neighbor legacy ceiling
Ablation-NoForwardSearch,ablation,forward insertion disabled
Ablation-NoBackwardSearch,ablation,atomic substitution disabled
Ablation-LegacyDeletion,ablation,atomic substitution replaced by standalone greedy deletion
Ablation-RandomMutationOnly,ablation,local search replaced by high-rate random mutation
Ablation-NoDependencyMoves,ablation,heuristic group-order bonus disabled
Ablation-NoFeasibilityRecovery,ablation,deterministic repair disabled; constraint dominance retained
Ablation-WeightedRankingOnly,ablation,weighted ranking without evolution
Ablation-ShallowLocalSearch,ablation,local-search depth reduced to 2
Ablation-LowDependencyDensity,ablation,every third candidate assigned an isolated group label
Ablation-LooseBudget,ablation,search at 1.2x budget and evaluation at the true budget
