claim_id,source_id,evidence_locator,support_relation,verification_status
RW-KNAPSACK-01,ref1,"MANUSCRIPT.md Section 2.1 sentence 1",supports use of multi-objective knapsack as a Pareto-method comparison setting,verified_scope_limited
RW-KNAPSACK-02,ref2,"MANUSCRIPT.md Section 2.1 sentence 2",supports genetic local search in multi-objective combinatorial optimization,verified_scope_limited
RW-KNAPSACK-03,ref3,"MANUSCRIPT.md Section 2.1 sentence 2",supports survey-level multiobjective multidimensional knapsack context,verified_scope_limited
RW-KNAPSACK-04,ref4,"MANUSCRIPT.md Section 2.1 sentence 2",supports recent knapsack taxonomy only,verified_scope_limited
RW-KNAPSACK-05,ref5,"MANUSCRIPT.md Section 2.1 sentence 3",supports study of MOEA behavior on many-objective knapsack problems,verified_scope_limited
RW-PORTFOLIO-06,ref6,"MANUSCRIPT.md Section 2.1 paragraph 2",supports Pareto ant colony optimization for multiobjective portfolio selection,verified_scope_limited
RW-PORTFOLIO-07,ref7,"MANUSCRIPT.md Section 2.1 paragraph 2",supports a project-portfolio model with dependencies schedules and resource limits,verified_scope_limited
RW-PORTFOLIO-08,ref8,"MANUSCRIPT.md Section 2.1 paragraph 2",supports a grid-investment optimization model jointly considering risk and benefit,verified_scope_limited
RW-PORTFOLIO-09,ref9,"MANUSCRIPT.md Section 2.1 paragraph 2",supports hybrid heuristic-Benders investment planning with non-analytical cost functions,verified_scope_limited
RW-APPLSCI-10,ref10,"MANUSCRIPT.md Section 2.2 paragraph 1",supports transmission and energy-storage coordinated planning comparator,verified_scope_limited
RW-APPLSCI-11,ref11,"MANUSCRIPT.md Section 2.2 paragraph 1",supports interruption-cost estimation for reliability investment,verified_scope_limited
RW-APPLSCI-12,ref12,"MANUSCRIPT.md Section 2.2 paragraph 1",supports grid-side storage planning and investment-return analysis,verified_scope_limited
RW-APPLSCI-13,ref13,"MANUSCRIPT.md Section 2.2 paragraph 1",supports multi-objective battery configuration under peak-shaving use,verified_scope_limited
RW-MCDM-14,ref14,"MANUSCRIPT.md Section 2.2 paragraph 2",foundational source for AHP,verified_foundational
RW-MCDM-15,ref15,"MANUSCRIPT.md Section 2.2 paragraph 2",foundational source for multiple-attribute decision making and TOPSIS,verified_foundational
RW-MCDM-16,ref16,"MANUSCRIPT.md Section 2.2 paragraph 2",supports explainable multi-criteria energy-investment prioritization,verified_scope_limited
RW-MCDM-17,ref17,"MANUSCRIPT.md Section 2.2 paragraph 2",supports review of multi-objective optimization for power-plant site selection,verified_scope_limited
RW-GRID-18,ref18,"MANUSCRIPT.md Section 2.2 paragraph 2",supports simulation-driven substation and commissioning-delay assessment,verified_scope_limited
RW-GRID-19,ref19,"MANUSCRIPT.md Section 2.2 paragraph 2",supports survey context for investment-efficiency-oriented grid infrastructure planning,verified_scope_limited
RW-LOCAL-20,ref20,"MANUSCRIPT.md Section 2.3 paragraph 1",supports weighted-sum multi-objective genetic local search after evolutionary variation,verified_scope_limited
RW-LOCAL-21,ref21,"MANUSCRIPT.md Section 2.3 paragraph 1",supports Pareto-archived evolution strategy as a local-search comparator lineage,verified_scope_limited
RW-MOEA-22,ref22,"MANUSCRIPT.md Section 2.3 paragraph 1",primary source for NSGA-II,verified_primary
RW-MOEA-23,ref23,"MANUSCRIPT.md Section 2.3 paragraph 1",primary source for MOEA/D,verified_primary
RW-MOEA-24,ref24,"MANUSCRIPT.md Section 2.3 paragraph 1",primary source for reference-point nondominated sorting in NSGA-III,verified_primary
RW-MEMETIC-25,ref25,"MANUSCRIPT.md Section 2.3 paragraph 1",supports broad memetic-algorithm review context,verified_scope_limited
RW-POWER-26,ref26,"MANUSCRIPT.md Section 2.3 paragraph 2",supports improved NSGA-II distribution-network optimization comparator,verified_scope_limited
RW-POWER-27,ref27,"MANUSCRIPT.md Section 2.3 paragraph 2",supports offshore-wind storage NSGA-II comparator,verified_scope_limited
RW-POWER-28,ref28,"MANUSCRIPT.md Section 2.3 paragraph 2",supports staged NSGA-II backbone-grid planning comparator,verified_scope_limited
RW-POWER-29,ref29,"MANUSCRIPT.md Section 2.3 paragraph 2",supports enhanced swarm method for energy-storage planning comparator,verified_scope_limited
RW-POWER-30,ref30,"MANUSCRIPT.md Section 2.3 paragraph 2",supports metaheuristic static and dynamic transmission-expansion comparator,verified_scope_limited
RW-PORTFOLIO-31,ref31,"MANUSCRIPT.md Section 2.3 paragraph 3",supports NSGA-II with Pareto local search in project-portfolio scheduling,verified_scope_limited
RW-PORTFOLIO-32,ref32,"MANUSCRIPT.md Section 2.3 paragraph 3",supports a memetic portfolio method with cardinality quantity and pre-assignment constraints,verified_scope_limited
RW-COMPANION-33,ref33,"MANUSCRIPT.md Sections 2.4 3.4 and 7",supports only internal shared-asset disclosure and stated method distinction,verified_internal_scope_only
MOVE-ATOMIC-01,implementation,"MANUSCRIPT.md Section 4 atomic-substitution equations; experiments/p6_s3_matched_effort/run_experiments.py",deletion and insertion are accepted or rolled back as one evaluated proposal,verified_from_local_implementation
MOVE-SEPARATE-02,ref31,"MANUSCRIPT.md Section 2.3 paragraph 3",nearby Pareto-local-search citation is not treated as evidence of atomic substitution,verified_negative_claim_removed
MOVE-SEPARATE-03,ref32,"MANUSCRIPT.md Section 2.3 paragraph 3",nearby constrained memetic citation is not treated as evidence of atomic substitution,verified_negative_claim_removed
COMPUTE-01,local_protocol,"experiments/p6_s3_matched_effort/config.json and runs/primary_v1/EXECUTION.md",matched evaluation and matched time are claims from this study's protocol and archive rather than imported literature claims,verified_local_evidence
SECURITY-01,all_refs,"MANUSCRIPT.md Section 2.4 final paragraph",no source is relabeled as cybersecurity evidence and the method is not framed as a cybersecurity contribution,verified_scope_guard
VNS-PORTFOLIO-34,ref34,"MANUSCRIPT.md Section 2.3 paragraph 3; UAB institutional abstract",supports only that a VNS-Monte-Carlo simheuristic has been applied to project portfolio selection under uncertain cash flows and discount rates; does not establish atomic substitution or matched performance,verified_scope_limited
