question_id,method,selected_slot,selected_source,automatic_error_type,correct,expected_columns,candidate_columns,gold_columns,candidate_rows,gold_rows,difficulty,order_sensitive,tables,sql_feature_tags,candidate_sql_sha256,gold_sql_sha256
Q021,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,4,4,easy,1,assets,filter|order-by,55F81C1AC873F824F3F76FD7C83D25F164EC941CF33550C2FBC69A3A03FF9FC9,2198EFD31F4C3DE5080570F611B43AD0FD7047E848954219E9DF97A9F827C3E9
Q022,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,easy,0,assets,aggregation|filter,D5B25E0025DA4D497DFAD3F205ED0B4E4F4CD5CE017B4F3B94EDC70D69E6D260,F914A2E6E9F067B567649ABA758F096EA3A1E1CB3DDBA17C382A290B9FAF9918
Q023,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,6,2,5,5,easy,1,work_orders,filter|order-by|time predicate,CC4C9ADBE3F045DEF9FE5D70831AE1D180D91F392C0897AE519A9204D0ADB479,6AEE6CD3B4332E230E2EC8E78C68AF1603299CB113A49F873577585A88EDA5B8
Q024,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,1,1,easy,1,technicians,filter|order-by,2AE3589C13C9DC755D9F6447FFE778FFDFF8731E2DD17FE1C23BC5ED4E9112E2,4DADD9D2866A7A9EC4CBB9FAB5589851F68C40BE4C9D59E9E3E90DD6C7076DD4
Q025,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,2,2,2,3,3,easy,1,assets,aggregation|group-by|order-by,B9841C8D7B849E587E0CFD4642C36998AFDD4A272DF44BCB292E012BA0848DF7,D29EAC989EAFC3E63F7500F3A9E98EB1F15184AD32C402196341AE3DE68CE4BB
Q026,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,2,2,easy,1,asset_types,filter|order-by,226AF37AD6E8A2CE7AC120E91B4FC54BD90E09A19555E1AB88607FEF655EB110,B7640EEA33B19B3250A81ABCD2181F399349D39D3542338A50610A754D221E5B
Q027,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,7,2,3,3,medium,1,technicians|work_orders,filter|join|order-by,9C20BA2C46DD30626D4053DBE7C59E8BF338BDB80A8FE4AF36ECBE38D2CDB1E8,1A4BE67B2091AA4AC2EF17CC24EB74DB5413795CF480B725012D3E636586D7BF
Q028,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,medium,0,asset_types|assets,aggregation|filter|float|join,D83933EC68795677A4890C0941769ECFBC9451C4CB59BB6BA493262DED152C04,54DDECAFAC5EBB954C06CEC98597A00BD698E828637CBF6D38BEFEAB15B75DD8
Q029,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,2,2,2,11,11,medium,1,assets|locations,filter|join|order-by,5A93FF98B6D1F0FFB664872E1644859C892B902F1B590F8A35269FB7FC161530,BBA836A5D8C3143D2E60FFD9DD3BEC47B774DBF87559ED3439AF15FA16EB0FF1
Q030,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,1,3,3,3,easy,1,work_orders,filter|order-by,0CBD495E907FC8963BEA8C2798DBA718385B01F565951B6DBFBAC0DFDB2EABBD,2A1E4E60B4A24E54BCE4125A0A1C839E6D0884F564C6332093253FB180F651DF
Q031,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,7,3,4,4,easy,1,sensor_readings,filter|float|order-by,4F40CC637421660CC6C2DB044AE25D3D3708B51929EA5B5163D150E040A2488C,5AC44A498A70D6929187195C8CBD762C06CDF8B3457E1BAE0FCA1A60940AE06E
Q032,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_execution_error,0,2,0,2,0,5,medium,1,assets|locations,aggregation|group-by|having|join|order-by,67C8A50F6CD51A66A80A262E461B0ADB2F2F6D13C4E9B8D463C11B577D99F4F3,5AC2DBED21AC5DBFE77961A6BC95DE4DDCD8B93728801304EC44E60A601F0F9D
Q033,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,2,2,2,4,4,easy,1,work_orders,filter|order-by|time predicate,3DF67A263C5983BECF09C1AD45E68AB22F9EB292370E60328B38A5C691F2AAD7,98CEC50EB6962A60F1AED8C1718E6A1D5E8B8CC51C7BA9A0414BE6C5E27BA955
Q034,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,5,5,easy,1,assets,filter|float|order-by,6995A1B929C3E2A14C9E6802B1D8B03B6800A464EF7572C5FA12AF6D738A9DB4,09483B77157245C6C5E9BE1610FE8B3DCE75A48D699D70318CA8EE18F9086F5F
