paper,target_journal,section,paragraph_id,sentence_id,line_start,word_count,status,issue_codes,suggestion_zh,sentence
mintou_p3_samode_distribution_planning,Energies,CARS-MODE: Constraint-Aware Repair and Strategy-Pool Multi-Objective Differential Evolution for Distribution Network Expansion Planning,1,1,9,31,PASS,,,"**Authors:** Linyao Zhang (张林垚), Jieyun Zheng (郑洁云), Zhanghuang Zhang (张章煌), Shiyuan Ni (倪识远), Guilian Wu (吴桂联) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, China **Correspondence:** zjy_0701@163.com (J."
mintou_p3_samode_distribution_planning,Energies,CARS-MODE: Constraint-Aware Repair and Strategy-Pool Multi-Objective Differential Evolution for Distribution Network Expansion Planning,1,2,9,1,PASS,,,Zheng)
mintou_p3_samode_distribution_planning,Energies,Abstract,2,3,17,14,PASS,,,"Distribution utilities allocate limited budgets among feeder reinforcement, distributed-energy-resource installations, storage, and automation upgrades."
mintou_p3_samode_distribution_planning,Energies,Abstract,2,4,17,24,PASS,,,"CARS-MODE is a binary multi-objective differential evolution algorithm combining self-adaptive control parameters, a success-driven two-strategy mutation pool, constraint-aware budget repair, and crowding-based diversity preservation."
mintou_p3_samode_distribution_planning,Energies,Abstract,2,5,17,25,PASS,,,"On a reproducible SimBench-derived benchmark with 18 subnetworks, 72 candidate actions, five objectives, and seven scenarios, CARS-MODE attains pooled mean hypervolume 0.04218, 6.22% above NSGA-II with matched budget repair."
mintou_p3_samode_distribution_planning,Energies,Abstract,2,6,17,28,PASS,,,"After removing deterministic-output pseudo-replication, it has a higher mean in all 56 stochastic-baseline comparisons and 55 remain significant after within-scenario Holm correction; seven Weighted Sum point comparisons are reported descriptively."
mintou_p3_samode_distribution_planning,Energies,Abstract,2,7,17,20,PASS,,,"Direct DE controls are also separated: CARS-MODE exceeds GDE3 and NSDE by 8.57% and 8.52%, respectively, with significant wins in all 14 scenario-level comparisons."
mintou_p3_samode_distribution_planning,Energies,Abstract,2,8,17,27,PASS,,,"Ablations show that the fixed-parameter variant is nominally 0.60% higher and remains unresolved in all seven scenarios, so the proxy evidence does not attribute the gain to adaptation."
mintou_p3_samode_distribution_planning,Energies,Abstract,2,9,17,30,PASS,,,"A composition-level alternating-current check on four SimBench medium-voltage networks shows that proxy ranking is not electrical ranking: CARS-MODE reaches a feasible rate of 0.611, compared with 0.500 without planning and 0.667 for NSGA-II."
mintou_p3_samode_distribution_planning,Energies,Abstract,2,10,17,21,PASS,,,The study therefore supports the constrained multi-objective framework against the tested controls while treating adaptation and physical transfer as bounded findings.
mintou_p3_samode_distribution_planning,Energies,Abstract,3,11,19,20,PASS,,,**Keywords:** distribution network expansion planning; distributed energy resources; energy storage; multi-objective optimization; differential evolution; self-adaptive parameter control; constraint handling; SimBench
mintou_p3_samode_distribution_planning,Energies,1. Introduction,4,12,25,11,PASS,,,The distribution grid turns the energy transition into an investment problem.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,4,13,25,19,PASS,,,"Photovoltaic connections, storage, and electrified loads are arriving faster than many medium- and low-voltage feeders were designed to accommodate."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,4,14,25,27,PASS,,,"Distribution system operators must decide which feeders to reinforce, where to accept DER, where storage is justified, and which automation upgrades to fund under a limited budget."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,4,15,25,11,PASS,,,"Each action changes cost, losses, voltage exposure, hosting capacity, and reliability."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,4,16,25,14,PASS,,,"Because those quantities conflict, DER and storage planning is a recurring constrained multi-objective problem."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,17,27,14,PASS,,,"Evolutionary multi-objective algorithms are the workhorse of this literature, but two practical frictions persist."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,18,27,31,PASS,,,"The first is algorithmic: differential evolution (DE), one of the strongest continuous optimizers, is sensitive to its control parameters and mutation strategy [1], and the planning problem is binary, budget-constrained, and rugged."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,19,27,8,PASS,,,A single fixed DE configuration can therefore stall.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,20,27,27,PASS,,,"Self-adaptive DE variants (jDE [2], SaDE [3]) addressed this limitation on continuous benchmarks two decades ago, whereas many energy-planning studies still use either fixed-parameter DE or an off-the-shelf NSGA-II."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,21,27,22,PASS,,,The second friction is evidential: studies based on private networks or unchecked objective proxies are difficult to reproduce and easy to over-interpret.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,22,27,7,PASS,,,Comparative optimizer research emphasizes consistent evaluation protocols [4].
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,23,27,19,PASS,,,"In this study, repeated-run statistical comparisons are therefore paired with an explicit power-flow check of the surrogate planning objectives."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,6,24,29,10,PASS,,,CARS-MODE is a binary multi-objective DE with four switchable mechanisms.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,6,25,29,15,PASS,,,It self-adapts each individual's scale factor $F$ and crossover rate $CR$ in the jDE manner.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,6,26,29,25,PASS,,,"A success-driven pool selects between rand/1 and best/1 mutation, deterministic repair removes low-benefit actions until the budget is met, and crowding truncation preserves front diversity."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,7,27,31,8,PASS,,,The evidence uses public data and reproducible implementations.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,7,28,31,20,PASS,,,"SimBench deterministically supplies the benchmark [5], while nine baselines and four ablations use real algorithm implementations, including pymoo references where available [6]."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,7,29,31,8,PASS,,,Standard hypervolume is computed under fixed method-independent normalization.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,7,30,31,19,PASS,,,Every stochastic method uses 30 seeded runs and Holm-corrected Mann–Whitney tests; the deterministic Weighted Sum rule is compared descriptively.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,8,31,33,9,PASS,,,The study's defining design decision is a two-level evaluation.
mintou_p3_samode_distribution_planning,Energies,1. Introduction,8,32,33,22,PASS,,,"The planning objectives are engineering indices computed from SimBench subnet statistics — fast enough to support a rigorous statistical protocol, but proxies nonetheless."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,8,33,33,45,PASS,,,"We therefore add a second level: the compromise plan composition of every method is mapped onto four real SimBench MV networks and checked with pandapower AC load flow [7] across six stress scenarios (peak load, load growth, extreme growth, high DER infeed, and an N-1 contingency)."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,8,34,33,20,PASS,,,"The two levels disagree in an instructive way, and we report the disagreement as a finding rather than hiding it."
mintou_p3_samode_distribution_planning,Energies,1. Introduction,9,35,35,6,PASS,,,The contributions of this paper are:
mintou_p3_samode_distribution_planning,Energies,1. Introduction,10,36,42,48,REVISE,P1_LONG_SENTENCE,拆句并前置主语与结论，降低从句和插入语密度,"The remainder of the paper follows the usual structure: Section 2 reviews related work, Section 3 formalizes the problem and the benchmark, Section 4 presents CARS-MODE, Section 5 the experimental protocol, Section 6 the results (including the AC validation and a parameter sensitivity analysis), Section 7 the discussion, Section 8 the limitations, and Section 9 concludes."
mintou_p3_samode_distribution_planning,Energies,2. Related Work,11,37,48,28,PASS,,,"Three threads frame this work: distribution network expansion planning with DER and storage, evolutionary and swarm metaheuristics in power system planning, and self-adaptive differential evolution with constraint handling."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,12,38,52,21,PASS,,,"Active distribution network planning has moved from single-objective conductor sizing to portfolio decisions that co-optimize reinforcement, DER siting, storage, and flexibility."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,12,39,52,36,PASS,,,"Recent surveys map this shift: Prenc [8] catalogues the optimization principles applied in planning and operation of active distribution networks, and Saldaña-González et al. [9] organize the elements of modern planning models, including the entry of generative-AI scenario tools."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,12,40,52,33,PASS,,,"On the modeling side, robustness to uncertainty dominates: Liu et al. [10] plan expansions under distributional uncertainty via Wasserstein-distance ambiguity sets and dual relaxation, and Wang et al. [11] coordinate source--network--storage expansion against WGAN-GP-generated scenarios."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,12,41,52,37,PASS,,,"Reliability-driven formulations add restoration and islanding to reinforcement choices [12], while Ferreira et al. [13] extend the planning boundary upward to the transmission--distribution interface, and Chen et al. [14] specialize it to hybrid AC/DC campus networks for data centers."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,12,42,52,40,PASS,,,"Closest to our task, He et al. [15] co-optimize distribution networks with storage and electric vehicles using an improved NSGA-II, and Alrashidi et al. [16] integrate DG, capacitor banks, and EV charging stations in radial feeders through a classification-based global optimization scheme."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,13,43,54,33,PASS,,,"Across this thread the algorithmic engine is almost always a Pareto-based genetic algorithm or a mathematical-programming reformulation; DE appears rarely, and when the engine is improved, the improvement is seldom isolated by ablation."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,13,44,54,33,PASS,,,"Equally relevant to us is what these papers evaluate on: private or single test systems are the norm, and the mapping from optimization objective to AC feasibility is usually asserted rather than measured."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,13,45,54,11,PASS,,,Our study is designed to make this mapping explicit and measurable.
mintou_p3_samode_distribution_planning,Energies,2.2. Evolutionary and Swarm Metaheuristics in Power System Planning,14,46,58,11,PASS,,,The broader planning literature in energy venues provides many metaheuristic variants.
mintou_p3_samode_distribution_planning,Energies,2.2. Evolutionary and Swarm Metaheuristics in Power System Planning,14,47,58,39,PASS,,,Qi et al. [17] apply enhanced beluga whale optimization to vulnerability-driven storage planning; Demirbas et al. [18] develop an enhanced coati algorithm for static and dynamic transmission expansion; and Cadena-Albuja et al. [19] compare DE with other optimizers for energy-limited economic dispatch.
mintou_p3_samode_distribution_planning,Energies,2.2. Evolutionary and Swarm Metaheuristics in Power System Planning,14,48,58,6,PASS,,,Two recurring limitations motivate our protocol.
mintou_p3_samode_distribution_planning,Energies,2.2. Evolutionary and Swarm Metaheuristics in Power System Planning,14,49,58,27,REVISE,P1_STRONG_CLAIM_CHECK,核验独创性/因果/证明性措辞，并补直接证据或降格为观察性表述,"First, hybrid or ""improved"" algorithms are not always accompanied by per-component evidence, making the source of added value difficult to identify; our one-switch-per-run ablations address this issue."
