paper,target_journal,section,paragraph_id,line_start,line_end,word_count,sentence_count,status,issue_codes,paragraph_preview
mintou_p5_trace_moea_feasibility_review,Energies,TRACE-MOEA: Traceable Multi-Objective Evolution with Preference-Guided Ranking for Power Grid Investment Review,1,21,23,32,2,PASS,,"**Authors:** Yubin Lin (林宇彬), Jiyu Li (李继宇), Xiaofei Ruan (阮筱菲), Xiaoyu Huang (黄晓予), Dishan Yang (杨迪珊) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, Chi"
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,2,27,27,166,8,PASS,,"Utilities reviewing large grid-project queues need portfolio-aware optimization together with a record of the interventions that shape each recommendation. TRACE-MOEA combines preference-guided ranking, deterministic budget repair, and a qu"
mintou_p5_trace_moea_feasibility_review,Energies,Abstract,3,29,29,19,1,PASS,,**Keywords:** power grid investment review; project portfolio selection; multi-objective evolutionary algorithm; preference adaptation; decision traceability; hypervolume; external validity backtest
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,4,35,35,65,4,PASS,,"Grid operators face more candidate investments than available capital can support. The queue includes line reinforcement, protection and automation retrofits, storage, and renewable-support installations. Expansion-planning research offers "
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,5,37,37,108,6,PASS,,"The instruments that boards actually use come from multi-criteria decision analysis (MCDA). The AHP and TOPSIS families dominate energy investment appraisal [3,4] and continue to be refined for grid asset prioritization at this journal [5]."
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,6,39,39,69,5,PASS,,"TRACE-MOEA is designed to produce both portfolios and review evidence. A preference-adaptive layer maintains objective-weight vectors and injects their best-response portfolios as elites. Every five generations, the vectors are perturbed an"
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,7,41,41,84,5,PASS,,"Because genuine utility review records with feasibility labels are confidential, evaluation is conducted on a reproducible proxy benchmark. The pool of 120 projects is generated by published deterministic rules from RTS-GMLC zones, SimBench"
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,8,43,43,17,1,PASS,,"The contributions of this paper, each tied to its supporting evidence (detailed in Sections 4–6), are as follows:"
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,9,53,53,58,3,PASS,,"The contribution therefore has two distinct parts. The optimizer produces competitive proxy fronts under the tested review scenarios, while the trace supplies a machine-readable history of preference protection and competing repair drops. T"
mintou_p5_trace_moea_feasibility_review,Energies,1. Introduction,10,55,55,36,4,PASS,,"Section 2 situates the work in three literatures. Section 3 defines the problem and the public benchmark. Section 4 details the algorithm. Section 5 describes the experimental protocol, Section 6 the results, Section 7 the discussion, Secti"
mintou_p5_trace_moea_feasibility_review,Energies,2. Related Work,11,61,61,24,1,PASS,,"Three research threads intersect in this work: investment portfolio decision methods for power grids, preference-guided evolutionary multi-objective optimization, and the traceability of algorithmic decisions."
mintou_p5_trace_moea_feasibility_review,Energies,2.1. Grid Investment Decisions: Optimization and Review Scoring,12,65,65,65,2,PASS,,Transmission expansion planning treats the network topology itself as the decision variable and has been surveyed comprehensively from both the modeling [1] and the practice side [2]; stochastic engineering-economic formulations bring marke
mintou_p5_trace_moea_feasibility_review,Energies,2.1. Grid Investment Decisions: Optimization and Review Scoring,13,67,67,79,4,PASS,,"For this sub-problem, the energy-domain literature relies heavily on MCDA. The surveys of Wang et al. [3] and Kumar et al. [4] document the use of AHP and TOPSIS across energy investment appraisal tasks, and this tradition remains active: r"
mintou_p5_trace_moea_feasibility_review,Energies,2.1. Grid Investment Decisions: Optimization and Review Scoring,14,69,69,113,5,PASS,,"Recent power-system planning studies have strengthened the application layer through coordinated transmission-storage planning [29], interruption-cost estimation for reliability investment [30], grid-side storage investment-return analysis "
mintou_p5_trace_moea_feasibility_review,Energies,2.2. Preference-Guided Evolutionary Multi-Objective Optimization,15,73,73,48,2,PASS,,"Dominance-based MOEAs [8] and decomposition-based ones [9,12] treat all trade-off directions as equally interesting, which motivated two decades of research on preference injection into evolutionary multi-objective optimization. Representat"
