paper,target_journal,section,paragraph_id,line_start,line_end,word_count,sentence_count,status,issue_codes,paragraph_preview
mintou_p3_samode_distribution_planning,Energies,CARS-MODE: Constraint-Aware Repair and Strategy-Pool Multi-Objective Differential Evolution for Distribution Network Expansion Planning,1,9,11,32,2,PASS,,"**Authors:** Linyao Zhang (张林垚), Jieyun Zheng (郑洁云), Zhanghuang Zhang (张章煌), Shiyuan Ni (倪识远), Guilian Wu (吴桂联) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fu"
mintou_p3_samode_distribution_planning,Energies,Abstract,2,17,17,189,8,REVISE,P1_LONG_PARAGRAPH,"Distribution utilities allocate limited budgets among feeder reinforcement, distributed-energy-resource installations, storage, and automation upgrades. CARS-MODE is a binary multi-objective differential evolution algorithm combining self-a"
mintou_p3_samode_distribution_planning,Energies,Abstract,3,19,19,20,1,PASS,,**Keywords:** distribution network expansion planning; distributed energy resources; energy storage; multi-objective optimization; differential evolution; self-adaptive parameter control; constraint handling; SimBench
mintou_p3_samode_distribution_planning,Energies,1. Introduction,4,25,25,82,5,PASS,,"The distribution grid turns the energy transition into an investment problem. Photovoltaic connections, storage, and electrified loads are arriving faster than many medium- and low-voltage feeders were designed to accommodate. Distribution "
mintou_p3_samode_distribution_planning,Energies,1. Introduction,5,27,27,128,7,PASS,,"Evolutionary multi-objective algorithms are the workhorse of this literature, but two practical frictions persist. The first is algorithmic: differential evolution (DE), one of the strongest continuous optimizers, is sensitive to its contro"
mintou_p3_samode_distribution_planning,Energies,1. Introduction,6,29,29,50,3,PASS,,"CARS-MODE is a binary multi-objective DE with four switchable mechanisms. It self-adapts each individual's scale factor $F$ and crossover rate $CR$ in the jDE manner. A success-driven pool selects between rand/1 and best/1 mutation, determi"
mintou_p3_samode_distribution_planning,Energies,1. Introduction,7,31,31,55,4,PASS,,"The evidence uses public data and reproducible implementations. SimBench deterministically supplies the benchmark [5], while nine baselines and four ablations use real algorithm implementations, including pymoo references where available [6"
mintou_p3_samode_distribution_planning,Energies,1. Introduction,8,33,33,96,4,PASS,,"The study's defining design decision is a two-level evaluation. The planning objectives are engineering indices computed from SimBench subnet statistics — fast enough to support a rigorous statistical protocol, but proxies nonetheless. We t"
mintou_p3_samode_distribution_planning,Energies,1. Introduction,9,35,35,6,1,PASS,,The contributions of this paper are:
mintou_p3_samode_distribution_planning,Energies,1. Introduction,10,42,42,48,1,REVISE,P1_LONG_SENTENCE,"The remainder of the paper follows the usual structure: Section 2 reviews related work, Section 3 formalizes the problem and the benchmark, Section 4 presents CARS-MODE, Section 5 the experimental protocol, Section 6 the results (including "
mintou_p3_samode_distribution_planning,Energies,2. Related Work,11,48,48,28,1,PASS,,"Three threads frame this work: distribution network expansion planning with DER and storage, evolutionary and swarm metaheuristics in power system planning, and self-adaptive differential evolution with constraint handling."
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,12,52,52,167,5,PASS,,"Active distribution network planning has moved from single-objective conductor sizing to portfolio decisions that co-optimize reinforcement, DER siting, storage, and flexibility. Recent surveys map this shift: Prenc [8] catalogues the optim"
mintou_p3_samode_distribution_planning,Energies,2.1. Distribution Network Expansion Planning with DER and Storage,13,54,54,77,3,PASS,,"Across this thread the algorithmic engine is almost always a Pareto-based genetic algorithm or a mathematical-programming reformulation; DE appears rarely, and when the engine is improved, the improvement is seldom isolated by ablation. Equ"
mintou_p3_samode_distribution_planning,Energies,2.2. Evolutionary and Swarm Metaheuristics in Power System Planning,14,58,58,132,6,REVISE,P1_STRONG_CLAIM_CHECK,The broader planning literature in energy venues provides many metaheuristic variants. Qi et al. [17] apply enhanced beluga whale optimization to vulnerability-driven storage planning; Demirbas et al. [18] develop an enhanced coati algorith
mintou_p3_samode_distribution_planning,Energies,2.3. Self-Adaptive Differential Evolution and Constraint Handling,15,62,62,140,6,REVISE,P1_LONG_SENTENCE,DE [1] owes much of its practical success to two families of extensions. Parameter self-adaptation removes the burden of tuning $F$ and $CR$: jDE [2] encodes both into each individual and resamples them with a small probability per generati
mintou_p3_samode_distribution_planning,Energies,2.3. Self-Adaptive Differential Evolution and Constraint Handling,16,64,64,71,3,PASS,,"To our knowledge, the reviewed studies do not combine jDE/SaDE-style adaptation and greedy budget repair inside a binary multi-objective DE for distribution-planning portfolios, separately ablate each mechanism, and then inspect the resulti"
mintou_p3_samode_distribution_planning,Energies,2.4. Gap Statement,17,68,68,81,4,PASS,,"In summary, distribution-planning studies supply the task context but do not consistently isolate algorithmic components or validate proxy objectives electrically. Metaheuristic studies supply algorithmic variants, while the DE literature s"
mintou_p3_samode_distribution_planning,Energies,2.4. Gap Statement,18,70,70,28,1,PASS,,"**Table 1.** Feature comparison with representative related work. ""yes"" = present; -- = absent by design; n.r. = not reported in the cited work; n/a = not applicable to the study's scope."
mintou_p3_samode_distribution_planning,Energies,3.1. Planning Portfolios as Multi-Objective Binary Selection,19,90,90,62,4,PASS,,"Let $\mathcal{A} = \{a_1, \dots, a_n\}$ be a pool of candidate planning actions. Each action belongs to one of four kinds — feeder **reinforcement**, **storage** installation, **DER** installation, and **automation** — and carries an invest"
mintou_p3_samode_distribution_planning,Energies,3.1. Planning Portfolios as Multi-Objective Binary Selection,20,96,96,51,2,PASS,,"where $C$ is total investment cost, $L$ a network loss index, $U$ a voltage-risk index, $H$ the DER hosting-capacity index, and $R$ a reliability index; all five are analytic functions of the selected actions' attributes and the scenario's "
mintou_p3_samode_distribution_planning,Energies,3.1. Planning Portfolios as Multi-Objective Binary Selection,21,102,102,68,4,PASS,,"with $B = 980$ cost units at the nominal level, scaled per scenario. The budget is the only hard constraint. Voltage risk and hosting capacity remain objectives because their target levels are not jointly satisfiable within this proxy budge"
mintou_p3_samode_distribution_planning,Energies,3.1. Planning Portfolios as Multi-Objective Binary Selection,22,104,104,53,3,PASS,,A plan $x$ dominates $x'$ when it is no worse in all five objectives and better in at least one. The feasible non-dominated front contains mutually non-dominating plans that respect the budget. Hypervolume measures the normalized objective-
mintou_p3_samode_distribution_planning,Energies,3.2. Benchmark Construction from SimBench,23,108,108,50,3,PASS,,"All problem data derive from the public SimBench complete mixed dataset (`1-complete_data-mixed-all-0-sw`) [5]. Active and reactive load, renewable capacity, line length, line count, and average maximum loading are aggregated from `Load.csv"
