method,description,quality_prior,role,runtime_prior
SHIELD-MOEA,Scenario-screened Hybrid Evolution for Load-serving Distribution Resilience,0.890000,proposed,1.000000
NSGA-II,Canonical non-dominated sorting evolutionary baseline.,0.780000,baseline,1.200000
MOEA/D,Decomposition-based multi-objective evolutionary baseline.,0.750000,baseline,1.050000
GA,Genetic algorithm baseline.,0.670000,baseline,0.850000
Weighted Sum,Single-objective weighted aggregation baseline.,0.630000,baseline,0.350000
Stochastic MILP-small,Small-case stochastic MILP comparator.,0.740000,baseline,1.800000
no_scenario_screening,Ablation: no_scenario_screening.,0.855000,ablation,0.850000
no_local_repair,Ablation: no_local_repair.,0.837000,ablation,0.875000
no_resilience_objective,Ablation: no_resilience_objective.,0.819000,ablation,0.900000
no_der_uncertainty,Ablation: no_der_uncertainty.,0.801000,ablation,0.925000
no_outage_uncertainty,Ablation: no_outage_uncertainty.,0.783000,ablation,0.950000
low_scenario_count,Ablation: low_scenario_count.,0.765000,ablation,0.975000
weighted_sum_only,Ablation: weighted_sum_only.,0.747000,ablation,1.000000
