outcome_id,wording_router_branch,cap,horizon_hours,source_family_or_table,observed_state,licensed_wording,prohibited_wording,scope
learned_space_joint_gate_h1,learned-space,0.70,1,primary_mae_mechanism_attribution,licensed_favorable,"At cap 0.70 and 1 h, learned k=8 retrieval had lower MAE than both named raw-feature and randomized-encoder k=8 controls across the ten frozen seed pairs; both contrasts were significant after within-family, within-horizon Holm adjustment.",causal learned-representation proof or overall forecasting superiority,joint gate over learned-versus-raw and learned-versus-randomized k=8 contrasts
learned_space_joint_gate_h24,learned-space,0.70,24,primary_mae_mechanism_attribution,not_licensed_mixed_or_adverse,"At cap 0.70 and 24 h, no learned-space advantage claim is licensed; report each named raw-feature and randomized-encoder contrast with its observed direction and Holm result.",learned-space advantage,joint gate over learned-versus-raw and learned-versus-randomized k=8 contrasts
selected_learned_vs_gru_head_h1,method-specific,0.70,1,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_gru_head_h1,method-specific,0.70,1,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
fixed_half_vs_gru_head_h1,method-specific,0.70,1,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_fixed_half_h1,method-specific,0.70,1,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_raw_h1,learned-space,0.70,1,primary_mae_mechanism_attribution,favorable; holm_005=yes,"At cap 0.70 and 1 h, learned k=8 retrieval had lower MAE than both named raw-feature and randomized-encoder k=8 controls across the ten frozen seed pairs; both contrasts were significant after within-family, within-horizon Holm adjustment.",causal representation proof; overall forecasting superiority; cross-system or cross-year generalization,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_randomized_h1,learned-space,0.70,1,primary_mae_mechanism_attribution,favorable; holm_005=yes,"At cap 0.70 and 1 h, learned k=8 retrieval had lower MAE than both named raw-feature and randomized-encoder k=8 controls across the ten frozen seed pairs; both contrasts were significant after within-family, within-horizon Holm adjustment.",causal representation proof; overall forecasting superiority; cross-system or cross-year generalization,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
selected_learned_vs_gru_head_h24,method-specific,0.70,24,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_gru_head_h24,method-specific,0.70,24,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
fixed_half_vs_gru_head_h24,method-specific,0.70,24,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_fixed_half_h24,method-specific,0.70,24,primary_mae_mechanism_attribution,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_raw_h24,learned-space,0.70,24,primary_mae_mechanism_attribution,adverse; holm_005=yes,"At cap 0.70 and 24 h, no learned-space advantage claim is licensed; report each named raw-feature and randomized-encoder contrast with its observed direction and Holm result.",causal representation proof; overall forecasting superiority; cross-system or cross-year generalization,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_randomized_h24,learned-space,0.70,24,primary_mae_mechanism_attribution,favorable; holm_005=no,"At cap 0.70 and 24 h, no learned-space advantage claim is licensed; report each named raw-feature and randomized-encoder contrast with its observed direction and Holm result.",causal representation proof; overall forecasting superiority; cross-system or cross-year generalization,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
gru_head_vs_lstm_head_h1,null/adverse,0.70,1,architecture_head_mae,adverse; holm_005=yes,"The named treatment was adverse for this horizon and metric after within-family, within-horizon Holm adjustment; retain the adverse result without treating it as a protocol failure.",overall winner; protocol failure; no-effect claim inferred only from non-significance,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
