question_id,validation_only_top_tie_size,validation_only_top_slots,validation_only_original_slot,validation_only_original_correct,validation_only_any_top_correct,validation_only_all_top_correct,complete_witness_top_tie_size,complete_witness_top_slots,complete_witness_original_slot,complete_witness_original_correct,complete_witness_any_top_correct,complete_witness_all_top_correct
Q021,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q022,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q023,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q024,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q025,7,C000|C001|C002|C004|C005|C006|C007,C000,1,1,0,7,C000|C001|C002|C004|C005|C006|C007,C000,1,1,0
Q026,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q027,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q028,1,C002,C002,1,1,1,1,C002,C002,1,1,1
Q029,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q030,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q031,4,C000|C001|C003|C005,C000,0,1,0,4,C000|C001|C003|C005,C000,0,1,0
Q032,4,C002|C003|C004|C006,C002,0,0,0,4,C002|C003|C004|C006,C002,0,0,0
Q033,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q034,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q035,3,C001|C003|C005,C001,0,0,0,3,C001|C003|C005,C001,0,0,0
Q036,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q037,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q038,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q039,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,6,C001|C002|C003|C005|C006|C007,C001,1,1,0
Q040,6,C000|C001|C002|C003|C004|C005,C000,1,1,0,6,C000|C001|C002|C003|C004|C005,C000,1,1,0
Q041,3,C000|C002|C003,C000,0,0,0,3,C000|C002|C003,C000,0,0,0
Q042,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q043,3,C002|C003|C005,C002,1,1,1,3,C002|C003|C005,C002,1,1,1
Q044,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q045,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q046,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q047,5,C001|C002|C003|C004|C006,C001,1,1,1,5,C001|C002|C003|C004|C006,C001,1,1,1
Q048,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q049,2,C006|C007,C006,1,1,1,2,C006|C007,C006,1,1,1
Q050,6,C000|C001|C004|C005|C006|C007,C000,0,1,0,6,C000|C001|C004|C005|C006|C007,C000,0,1,0
Q051,7,C000|C001|C002|C003|C004|C005|C006,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C006,C000,0,1,0
Q052,7,C000|C001|C003|C004|C005|C006|C007,C000,0,1,0,7,C000|C001|C003|C004|C005|C006|C007,C000,0,1,0
Q053,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q054,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q055,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q056,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q057,1,C004,C004,0,0,0,1,C004,C004,0,0,0
Q058,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q059,2,C001|C003,C001,0,0,0,2,C001|C003,C001,0,0,0
Q060,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q061,6,C002|C003|C004|C005|C006|C007,C002,1,1,0,6,C002|C003|C004|C005|C006|C007,C002,1,1,0
Q062,1,C003,C003,0,0,0,1,C003,C003,0,0,0
Q063,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q064,2,C000|C002,C000,0,0,0,2,C000|C002,C000,0,0,0
Q065,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q066,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q067,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q068,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0
Q069,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q070,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q071,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q072,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q073,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q074,6,C000|C001|C003|C004|C005|C007,C000,0,1,0,6,C000|C001|C003|C004|C005|C007,C000,0,1,0
Q075,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q076,1,C003,C003,0,0,0,1,C003,C003,0,0,0
Q077,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q078,4,C000|C001|C004|C005,C000,0,0,0,4,C000|C001|C004|C005,C000,0,0,0
Q079,5,C000|C002|C004|C005|C006,C000,0,0,0,5,C000|C002|C004|C005|C006,C000,0,0,0
Q080,4,C000|C005|C006|C007,C000,0,0,0,4,C000|C005|C006|C007,C000,0,0,0
Q081,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0
Q082,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q083,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1
Q084,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0
Q085,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1
Q086,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0
Q087,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q088,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q089,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0
Q090,7,C000|C001|C002|C003|C004|C005|C006,C000,1,1,1,7,C000|C001|C002|C003|C004|C005|C006,C000,1,1,1
Q091,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q092,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1
Q093,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1
Q094,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,0
Q095,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1
Q096,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1
Q097,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,1
Q098,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0
Q099,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q100,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q101,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q102,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q103,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q104,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q105,1,C001,C001,0,0,0,1,C001,C001,0,0,0
