sentence_id,source_line,section,subsection,unit_no,sentence_in_unit,words,status,flags,sentence,modification_suggestion
MA_SQLGrid-S0001,22,Abstract,,1,1,18,KEEP,none,"Natural-language access to power-grid databases requires traceable schema grounding, database-enforced read-only execution, and explicit handling of missing evidence.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0002,22,Abstract,,1,2,22,KEEP,none,"We operationalize ``robust'' only as tested mutation denial, bounded execution, complete-evidence gating, and constructed-witness behavior; universal or deployment robustness is not claimed.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0003,22,Abstract,,1,3,14,KEEP,none,"We present , a five-role software architecture coordinated through an append-only blackboard and deterministic adjudicator.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0004,22,Abstract,,1,4,19,KEEP,none,"Its implemented boundary combines SQLite read-only mode, query\ only, an authorizer, disabled extensions, resource limits, and fail-closed named-state coverage.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0005,22,Abstract,,1,5,14,KEEP,none,Earlier GridDB and BIRD experiments evaluate frozen prompting workflows rather than autonomous multi-agent generation.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0006,22,Abstract,,1,6,21,KEEP,none,A separate 700-call study uses a prospectively frozen call-and-selection procedure on development-visible GridDB items to test presented-value and reference-free selection components.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0007,22,Abstract,,1,7,20,KEEP,none,A no-generation release-v3 re-execution applies three selectors to a shared 5760-attempt collection for eight historical candidates on 180 GridDB questions.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0008,22,Abstract,,1,8,12,KEEP,none,"Because frozen pre-run tests accessed same-item gold-derived outcomes, this release is descriptive.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0009,22,Abstract,,1,9,16,REVIEW,compressed_numeric_pair,"Fixed order, validation-only ranking, and complete three-witness selection obtained 80/180, 100/180, and 101/180.",展开K=5与K=10或两个比较对象，避免斜线数值对造成歧义
MA_SQLGrid-S0010,22,Abstract,,1,10,20,REVIEW,compressed_numeric_pair,The two adjudicating selectors tied at the highest score on 130/180 questions; reversing candidate order produced 117–118/180.,展开K=5与K=10或两个比较对象，避免斜线数值对造成歧义
MA_SQLGrid-S0011,22,Abstract,,1,11,12,KEEP,none,"Their sole difference, Q039, is a constructed and semantically ambiguous projection trace.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0012,22,Abstract,,1,12,26,KEEP,none,"The evidence supports a reproducible architecture with tested read-only execution and bounded-evidence mechanisms, but not five-role superiority, qualified power-grid semantic validity, deployment safety, or universal robustness.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0013,24,Featured Application,,2,1,14,KEEP,none,is an experimental read-only decision-support framework for auditable natural-language access to structured power-grid records.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0014,24,Featured Application,,2,2,22,KEEP,none,"Generated SQL and returned source rows require human inspection before consequential use; no operational control, protection, or maintenance decision has been validated.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0015,30,Introduction,,3,1,17,KEEP,none,"Power-grid organizations maintain relational data about assets, locations, topology, sensor readings, work orders, technicians, and maintenance activity.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0016,30,Introduction,,3,2,24,KEEP,none,"SQL provides precise access to these records, but it requires knowledge of table names, join keys, identifiers, units, aggregation conventions, and local coding rules.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0017,30,Introduction,,3,3,17,KEEP,none,Text-to-SQL systems aim to reduce this access barrier by translating a natural-language request into an executable query.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0018,30,Introduction,,3,4,14,KEEP,none,"In an engineering workflow, however, a fluent query is not sufficient evidence of correctness.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0019,30,Introduction,,3,5,30,KEEP,none,"A query can execute while selecting the wrong status field, omitting a required filter, using an unintended join path, or returning the expected number of columns with the wrong content.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0020,32,Introduction,,4,1,10,KEEP,none,The risk is amplified by the semantics of grid records.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0021,32,Introduction,,4,2,30,REVIEW,punctuation_load,"An identifier that looks numeric may be a categorical code; a timestamp can refer to sensing, issuance, acknowledgement, or closure; and an asset status may be current, event-time, or work-order-specific.",减少分号/冒号串联，改为完整句或项目化列举
MA_SQLGrid-S0022,32,Introduction,,4,3,11,KEEP,none,The same user wording can therefore map to several executable queries.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0023,32,Introduction,,4,4,26,KEEP,none,"Natural-language access must expose schema and value grounding, preserve the generated statement, and retain the returned source rows so that an engineer can inspect the interpretation.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0024,32,Introduction,,4,5,11,REVIEW,anaphora_check,It should also abstain when the available evidence cannot distinguish candidates.,将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0025,34,Introduction,,5,1,18,KEEP,none,Cross-database benchmarks such as Spider and BIRD have made schema generalization and realistic database content central evaluation concerns .,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0026,34,Introduction,,5,2,14,KEEP,none,"Schema-aware models, constrained decoding, context selection, decomposition, and execution guidance address different failure surfaces .",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0027,34,Introduction,,5,3,13,REVIEW,anaphora_check,These methods also expose a design problem: generation steps are frequently bundled together.,将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0028,34,Introduction,,5,4,18,KEEP,none,"A system may change schema serialization, value presentation, domain normalization, structural hints, candidate count, and repair policy simultaneously.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0029,34,Introduction,,5,5,15,KEEP,none,"An observed score difference then cannot be assigned cleanly to schema linking, reasoning, or validation.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0030,36,Introduction,,6,1,11,KEEP,none,Recent Applied Sciences studies illustrate the breadth of this design space.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0031,36,Introduction,,6,2,18,KEEP,none,"RGISQL refines grammatical information in a relational-graph model, while zero-shot prompting work compares prompt strategies and benchmark behavior .",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0032,36,Introduction,,6,3,21,KEEP,none,"Schema-retrieval systems use embeddings and vector stores to limit context, and domain-specific work such as DKA-SQL adapts knowledge to power-grid questions .",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0033,36,Introduction,,6,4,9,REVIEW,anaphora_check,These contributions focus primarily on generation quality or contextualization.,将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0034,36,Introduction,,6,5,24,KEEP,none,"The present work instead asks what can be established when candidate production, validation evidence, state-based diagnostics, and deterministic selection are recorded as separate stages.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0035,38,Introduction,,7,1,10,KEEP,none,The original concept addresses this problem through five specialized roles.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0036,38,Introduction,,7,2,46,REVIEW,long,"A Query Analyst interprets the request, a Schema Cartographer maps it to the database, an SQL Synthesizer packages candidate queries, a Validation Engine checks safety and execution, and a role historically named the Counterfactual Critic—operationally a Metamorphic-State Critic—records evidence from named constructed database states.",检查能否在转折词或分号处拆句，减少单句信息负荷
MA_SQLGrid-S0037,38,Introduction,,7,3,8,KEEP,none,A separate deterministic adjudicator resolves the resulting evidence.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0038,38,Introduction,,7,4,35,REVIEW,anaphora_check,"This separation makes the trace inspectable: a reviewer can distinguish what the analyst inferred, which schema elements were retained, which candidates were proposed, which candidates executed, and why a final candidate was selected or rejected.",将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0039,40,Introduction,,8,1,13,KEEP,none,The architecture must nevertheless be separated from the evidence used to evaluate it.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0040,40,Introduction,,8,2,10,KEEP,none,The inherited GridDB factorial study was not a multi-agent execution.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0041,40,Introduction,,8,3,20,REVIEW,anaphora_check,"It used one model generation per question and prompt cell, followed by deterministic parsing, read-only validation, execution, and offline scoring.",将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0042,40,Introduction,,8,4,14,KEEP,none,The BIRD study likewise compared four frozen prompting procedures rather than five interacting agents.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0043,40,Introduction,,8,5,23,REVIEW,anaphora_check,"These assets can motivate modules, supply baselines, and test replay interfaces, but they cannot be renamed as results of the new coordination core.",将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0044,42,Introduction,,9,1,9,KEEP,none,This evidence distinction is especially important for candidate-pool selection.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0045,42,Introduction,,9,2,17,KEEP,none,"If eight historical candidates already contain a correct query, a selector may recover it without improving generation.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0046,42,Introduction,,9,3,21,KEEP,none,"If the candidates originate from different models and prompt packages, the pool also receives more physical calls than a one-shot baseline.",句式、术语和承接未见明显问题，可保留
