paper_id,doi,figure_index,label,caption,framework_candidate,result_candidate
applsci-13-11074,10.3390/app131911074,1,Figure 1,"Flow chart. Examples of data from the database are shown in Table 2 . In the figure, Transformer Encorder × 12 means 12 layers of Transformer Encorder are stacked.",1,0
applsci-13-11074,10.3390/app131911074,2,Figure 2,"Example of a semantic dependency graph showing the semantic dependency analysis of “30 June, 110 kV Kunlun station Guangkun line,” and the construction of a semantic dependency analysis diagram.",0,0
applsci-13-11074,10.3390/app131911074,3,Figure 3,Embedding layer fusion. The subscripts of semantic dependent embeddings and lexical embeddings were the index values of the processed mapping to the word list.,0,0
applsci-13-12690,10.3390/app132312690,1,Figure 1,The 10 kV feeder considered.,0,0
applsci-13-12690,10.3390/app132312690,2,Figure 2,"The 10 kV feeder model first half, including the added LVRs.",0,0
applsci-13-12690,10.3390/app132312690,3,Figure 3,Flowchart of the methodology.,1,0
applsci-13-12690,10.3390/app132312690,4,Figure 4,Active power of the 41 SSs.,0,1
applsci-13-12690,10.3390/app132312690,5,Figure 5,Reactive powers of loads.,0,1
applsci-13-12690,10.3390/app132312690,6,Figure 6,PV outputs of the first half of the analysis.,0,0
applsci-13-12690,10.3390/app132312690,7,Figure 7,PV outputs–zoomed in a random short period.,0,0
applsci-13-12690,10.3390/app132312690,8,Figure 8,Tap positions in a random period resulting from PowerFactory simulation.,0,1
applsci-13-12690,10.3390/app132312690,9,Figure 9,Voltage profiles along the feeder when E-OLTCs are off and LVRs are off.,0,1
applsci-13-12690,10.3390/app132312690,10,Figure 10,Voltage profiles along the feeder when E-OLTCs are off and the LVRs are on.,0,1
applsci-13-12690,10.3390/app132312690,11,Figure 11,Voltage profiles along the feeder when E-OLTCs are on and LVRs are off.,0,1
applsci-13-12690,10.3390/app132312690,12,Figure 12,Voltage profiles along the feeder when E-OLTCs are on and LVRs are on.,0,1
applsci-13-12690,10.3390/app132312690,13,Figure 13,Number of over-voltages as a function of penetration level of PVs.,0,1
applsci-13-12690,10.3390/app132312690,14,Figure 14,Scheme of the DNN architecture.,1,0
applsci-13-12690,10.3390/app132312690,15,Figure 15,Loss function–training set (blue) and validation set (orange).,0,1
applsci-13-12690,10.3390/app132312690,16,Figure 16,Voltage profiles gathered from PowerFactory when the ML predicts the taps of LVRs and E-OLTCs.,0,1
applsci-14-06486,10.3390/app14156486,1,Figure 1,Schematic diagram of energy storage delaying transmission line upgrades.,1,0
applsci-14-06486,10.3390/app14156486,2,Figure 2,Schematic diagram of multi-stage coordinated expansion planning for the transmission network and energy storage.,1,0
applsci-14-06486,10.3390/app14156486,3,Figure 3,"Typical scenarios of wind power, photovoltaic output, and load demand in the IEEE RTS-24 system.",0,1
applsci-14-06486,10.3390/app14156486,4,Figure 4,Planning scheme of transmission network and energy storage in different stages.,0,0
applsci-14-06486,10.3390/app14156486,5,Figure 5,Impact of energy storage cost on energy storage configuration results.,0,1
applsci-14-06486,10.3390/app14156486,6,Figure 6,Impact of energy storage cost on transmission construction and wind and solar curtailment.,0,1
applsci-14-06486,10.3390/app14156486,7,Figure 7,Simplified topology of the actual 23-Bus power system.,0,1
applsci-14-10368,10.3390/app142210368,1,Figure 1,Flowchart of the abnormal spatiotemporal distribution of the power grid during typhoons.,1,1
applsci-14-10368,10.3390/app142210368,2,Figure 2,Schematic diagram of IEEE-14 bus system under Typhoon Maria over 24 h (green area represents the region swept by the typhoon).,1,0
applsci-14-10368,10.3390/app142210368,3,Figure 3,Fault probability of lines during Typhoon Maria.,0,0
applsci-14-10368,10.3390/app142210368,4,Figure 4,Emergency scenarios under ( a ) scenario 1 P r 0 = 0.1 ( b ) scenario 2 P r 0 = 0.3 ( c ) scenario 3 P r 0 = 0.5 ( d ) scenario 4 P r 0 = 0.7 .,0,0
applsci-14-10368,10.3390/app142210368,5,Figure 5,Sequential output power of emergency dispatch resources.,0,1
applsci-14-10368,10.3390/app142210368,6,Figure 6,Curtailment cost under ( a ) different μ v ( b ) different μ r .,0,1
applsci-14-11797,10.3390/app142411797,1,Figure 1,Equivalent circuit diagram of a distribution network.,0,1
applsci-14-11797,10.3390/app142411797,2,Figure 2,Relationship diagram of the OLTC reverse power transmission capability and the OLTC tap ratio.,0,1
applsci-14-11797,10.3390/app142411797,3,Figure 3,The relationship between OLTC power flow capacity and reactive power compensation.,0,1
applsci-14-11797,10.3390/app142411797,4,Figure 4,Reverse power flow involves understanding the relationship between reactive power compensation capacity on the low-voltage side.,0,1
applsci-14-11797,10.3390/app142411797,5,Figure 5,The relationship between electrical distance and the magnitude of reverse flow delivery.,0,0
applsci-14-11797,10.3390/app142411797,6,Figure 6,Real power reverse flow transmission capacity distribution map of the distribution network.,0,1
applsci-14-11797,10.3390/app142411797,7,Figure 7,Calculation procedure for maximum transmission capacity of reverse power flow in distribution networks.,0,1
applsci-14-11797,10.3390/app142411797,8,Figure 8,The SOP interconnects two distribution networks.,0,1
