paper,section,subsection,paragraph,words,citations,crossrefs,numeric_tokens,role,mechanical_flag,opening
MA_SQLGrid,Introduction,,1,102,0,0,0,exposition/transition,ok,"Power-grid organizations maintain relational data about assets, locations, topology, sensor readings, work orders, technicians, and maintenance activity. SQL provides precise access to these records, but it requires know"
MA_SQLGrid,Introduction,,2,88,0,0,0,boundary/limitation,ok,"The risk is amplified by the semantics of grid records. An identifier that looks numeric may be a categorical code; a timestamp can refer to sensing, issuance, acknowledgement, or closure; and an asset status may be curr"
MA_SQLGrid,Introduction,,3,78,2,0,7,boundary/limitation,ok,"Cross-database benchmarks such as Spider and BIRD have made schema generalization and realistic database content central evaluation concerns . Schema-aware models, constrained decoding, context selection, decomposition, "
MA_SQLGrid,Introduction,,4,83,2,0,4,claim/contribution,ok,"Recent Applied Sciences studies illustrate the breadth of this design space. RGISQL refines grammatical information in a relational-graph model, while zero-shot prompting work compares prompt strategies and benchmark beh"
MA_SQLGrid,Introduction,,5,90,0,0,0,exposition/transition,ok,"The original concept addresses this problem through five specialized roles. A Query Analyst interprets the request, a Schema Cartographer maps it to the database, an SQL Synthesizer packages candidate queries, a Validati"
MA_SQLGrid,Introduction,,6,80,0,0,0,boundary/limitation,ok,"The architecture must nevertheless be separated from the evidence used to evaluate it. The inherited GridDB factorial study was not a multi-agent execution. It used one model generation per question and prompt cell, foll"
MA_SQLGrid,Introduction,,7,75,0,0,0,boundary/limitation,ok,"This evidence distinction is especially important for candidate-pool selection. If eight historical candidates already contain a correct query, a selector may recover it without improving generation. If the candidates or"
MA_SQLGrid,Introduction,,8,63,0,0,0,boundary/limitation,ok,"The research gap is consequently not another unqualified agent count. It is an evidence architecture that permits a future matched experiment to replace one role at a time while retaining the same message schema, executo"
MA_SQLGrid,Introduction,,9,88,0,0,0,boundary/limitation,ok,"This distinction leads to three questions. First, can role-specific handoffs be implemented with a database-enforced, gold-isolated, fail-closed boundary? Second, what do the completed experiments establish about context"
MA_SQLGrid,Introduction,,10,85,0,0,0,result/interpretation,ok,"The analysis answers these questions through a hierarchy rather than one headline accuracy. Software tests address mutation denial, resource termination, trace completeness, and fail-closed coverage. Frozen experiments a"
MA_SQLGrid,Introduction,,11,133,0,0,13,claim/contribution,ok,"The paper makes four contributions. First, it defines a testable five-role coordination core, a database-enforced SQLite executor, and a deterministic adjudicator whose required counterfactual coverage fails closed. Seco"
MA_SQLGrid,Introduction,,12,84,0,0,0,exposition/transition,ok,"No Spider or WikiSQL experiment is reported, no unsupported large power-grid question--SQL corpus is asserted, and the offline result is not relabeled as autonomous multi-agent generation. In the retained title, multi-ag"
MA_SQLGrid,Introduction,,13,67,0,0,0,boundary/limitation,ok,"The remainder of the paper first positions the framework relative to schema-linking, agentic, and grid-data research. Materials and Methods then define the trust boundary, artifact chronology, five role contracts, adjudi"
MA_SQLGrid,Related Work,Text-to-SQL Evaluation and Schema Generalization,1,80,2,0,2,boundary/limitation,ok,"Text-to-SQL systems map a natural-language question and a database schema to a query. Spider established a cross-domain setting with previously unseen databases, drawing attention to table selection, joins, grouping, nes"
MA_SQLGrid,Related Work,Text-to-SQL Evaluation and Schema Generalization,2,70,0,0,0,exposition/transition,ok,"Exact SQL match and execution evaluation answer different questions. String match can penalize equivalent SQL, whereas result equality can reward nonequivalent queries on an insufficiently discriminating database state. "
